N. CPUs	N. GPUs	ChunkGPU	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
1	0	128	114430	47.5972	11.45	68.2623	58.05	127.31
1	0	128	114842	47.4069	11.3019	68.6989	58.7088	127.408
1	0	128	114518	48.67	11.46	68.034	58.13	128.164
1	0	128	113709	47.7563	11.2182	67.8	58.9744	126.774
1	0	128	114848	47.4004	11.4576	68.64	58.8581	128.5
1	0	128	113653	47.7517	11.2856	67.7641	59.0373	126.801
1	0	128	113666	47.922	117.548	67.7324	58.47	128.202
1	0	128	113720	48.679	117.463	67.8732	58.142	128.015
1	0	256	114560	47.494	11.3038	68.695	58.7977	128.492
1	0	256	114793	47.3594	11.2789	68.7096	58.6383	127.348
1	0	256	113620	47.8118	11.2149	225.981	59.0267	128.008
1	0	256	113595	47.59	11.3883	67.7886	58.98	127.77
1	0	256	113624	47.7127	11.1832	67.7476	58.8959	126.643
1	0	256	114801	47.4939	11.3654	68.6234	58.8592	127.483
1	0	256	113625	47.7238	11.2228	67.6914	58.9466	126.638
1	0	256	113604	47.7487	11.2424	68.2063	58.9911	127.197
1	0	512	114784	47.5124	11.3933	67.449	58.9057	127.354
1	0	512	114787	47.83	11.507	68.7206	58.337	127.058
1	0	512	113568	47.7333	11.2327	67.7013	58.966	126.667
1	0	512	113592	47.8007	11.2403	67.7856	59.0411	126.827
1	0	512	113581	47.7933	11.2351	67.6457	59.0284	126.674
1	0	512	114781	47.5284	11.338	68.613	58.8664	127.479
1	0	512	113582	47.7618	11.2448	67.5411	59.0066	126.548
1	0	512	114769	47.5409	11.296	68.756	58.837	127.593
1	0	1024	114774	47.4578	11.3186	68.61	58.7764	127.386
1	0	1024	114734	47.4101	11.3844	68.501	58.7945	127.296
1	0	1024	114758	47.5318	11.357	68.4312	58.8887	127.32
1	0	1024	114753	47.4973	11.3232	68.629	58.8205	127.45
1	0	1024	114746	47.4646	11.3184	68.5424	58.7831	127.325
1	0	1024	114757	47.5031	11.3622	68.7313	58.8653	127.597
1	0	1024	114757	47.5275	11.3956	68.6155	58.9231	127.539
1	0	1024	113576	47.9064	11.3002	67.5539	59.2066	126.76
1	0	2048	114740	1724.14	11.4321	68.041	59.58	127.62
1	0	2048	114748	47.6105	11.3576	68.6412	58.9682	127.609
1	0	2048	113544	47.8275	11.3081	67.6359	59.1356	126.771
1	0	2048	113552	47.38	11.288	67.6649	58.66	128.33
1	0	2048	114754	47.59	11.3931	68.6219	58.9831	127.605
1	0	2048	113535	47.7383	11.2875	67.4673	59.0257	126.493
1	0	2048	113558	47.8178	11.318	67.5439	59.1358	126.68
1	0	2048	113548	47.769	11.2629	67.6448	59.0319	126.677
1	0	4096	114748	47.4679	11.3737	68.6638	58.8415	127.505
1	0	4096	113550	48.7125	11.376	67.5316	58.088	127.62
1	0	4096	113517	47.713	11.3275	67.6269	59.0405	126.667
1	0	4096	113543	47.8492	11.2923	67.6037	59.1415	126.745
1	0	4096	114740	47.4803	11.4119	68.6204	58.8922	127.513
1	0	4096	114732	47.4978	11.3761	68.5764	58.8738	127.45
1	0	4096	113552	47.7684	11.2802	67.6599	59.0486	126.709
1	0	4096	113554	47.8013	11.3122	67.6753	59.1135	126.789
1	0	8192	113565	47.844	11.3063	68.1745	59.1502	127.325
1	0	8192	114746	47.5186	11.3856	68.5828	58.9042	127.487
1	0	8192	113531	47.7441	11.2264	67.5407	58.9705	126.511
1	0	8192	114739	47.5189	11.3933	68.6208	58.9122	127.533
1	0	8192	113547	47.823	11.427	67.5106	59.25	126.761
1	0	8192	114745	47.5536	11.3514	68.844	58.905	127.749
1	0	8192	114737	47.3994	11.3439	68.6112	58.7433	127.355
1	0	8192	114722	47.822	11.4986	68.982	58.32	127.303
