N. CPUs	N. FPGAs	fracFPGA	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
2	1	0	56713.2	27.7867	5.65321	33.8841	33.4399	67.324
2	1	0	56795.7	27.8628	5.69326	33.9668	33.5561	67.5229
2	1	0	56909.1	27.9461	5.74423	33.9859	33.6903	67.6762
2	1	0	56819.2	27.9323	5.72021	34.0134	33.6525	67.6659
2	1	0	56867.2	27.9527	5.70808	34.0598	33.6608	67.7206
2	1	0	56755.4	27.9186	5.72941	33.9449	33.648	67.5929
2	1	0	56753.5	27.8574	5.70076	33.9044	33.5582	67.4626
2	1	0	56714.1	27.06	5.63747	33.8153	33.7	67.51
2	1	0.1	2529.92	1.03101	0.449755	1.54386	1.48077	3.02463
2	1	0.1	2529.78	1.0234	0.459427	1.55368	1.48283	3.03651
2	1	0.1	2529.93	1.02972	0.441523	1.55068	1.47125	3.02193
2	1	0.1	2530.06	1.02835	0.455654	1.54994	1.484	3.03394
2	1	0.1	2529.94	1.04032	0.447662	1.54307	1.48798	3.03105
2	1	0.1	2529.95	1.04265	0.437934	1.5567	1.48059	3.03729
2	1	0.1	2529.98	1.02936	0.457786	1.54772	1.48715	3.03487
2	1	0.1	2529.97	1.02073	0.464378	1.53909	1.4851	3.0242
2	1	0.2	5041.25	2.04548	0.908627	3.08212	2.95411	6.03623
2	1	0.2	5041.45	2.04473	0.908456	3.07937	2.95318	6.03255
2	1	0.2	5040.99	2.03333	0.902294	3.07233	2.93563	6.00796
2	1	0.2	5041.15	2.05096	0.909821	3.06308	2.96076	6.02385
2	1	0.2	5041.33	2.05285	0.903179	3.08736	2.95603	6.04339
2	1	0.2	5041.29	2.06636	0.916125	3.07767	2.98249	6.06015
2	1	0.2	5041.05	2.05563	0.925429	3.08562	2.98106	6.06667
2	1	0.2	5041.11	2.0592	0.916994	3.07272	2.97619	6.04891
2	1	0.3	7552.42	3.09965	1.37216	4.61729	4.47181	9.0891
2	1	0.3	7553.03	3.15527	1.34844	4.28	4.50371	9.78
2	1	0.3	7552.82	3.0701	1.35026	4.61894	4.42036	9.0393
2	1	0.3	7552.63	3.07573	1.36644	4.58584	4.44217	9.02801
2	1	0.3	7552.84	3.08005	1.36784	4.61846	4.44789	9.06635
2	1	0.3	7552.79	3.69579	1.3614	4.62216	5.0572	9.67936
2	1	0.3	7552.63	3.08259	1.37507	4.58764	4.45766	9.0453
2	1	0.3	7552.69	3.05461	1.33424	4.59872	4.38885	8.98757
2	1	0.4	10063.7	4.09496	1.81646	6.14083	5.91142	12.0522
2	1	0.4	10063.7	4.10103	1.82188	6.13464	5.92291	12.0575
2	1	0.4	10064	4.10521	1.83962	6.12021	5.94483	12.065
2	1	0.4	10063.7	4.07284	1.83123	6.13887	5.90408	12.0429
2	1	0.4	10063.7	4.09029	1.82639	6.12363	5.91668	12.0403
2	1	0.4	10064	4.10386	1.84109	6.13223	5.94495	12.0772
2	1	0.4	10064	4.11478	1.80243	6.13894	5.91721	12.0562
2	1	0.4	10064	4.11997	1.85224	6.14002	5.97221	12.1122
2	1	0.5	12575.4	5.10003	2.26404	7.66443	7.36407	15.0285
2	1	0.5	12575.3	5.1315	2.26033	7.65438	7.39183	15.0462
2	1	0.5	12575.3	5.13933	2.27622	7.6776	7.41555	15.0932
2	1	0.5	12575.3	5.09753	2.28622	7.66988	7.38376	15.0536
2	1	0.5	12575.3	5.16263	2.28846	7.64797	7.45109	15.0991
2	1	0.5	12575.3	5.13058	2.2789	7.66425	7.40948	15.0737
2	1	0.5	12575.3	5.14134	2.26838	7.6546	7.40972	15.0643
2	1	0.5	12575.3	5.13284	2.26474	7.66547	7.39759	15.0631
2	1	0.6	15086.6	6.09483	2.71808	9.78871	8.81291	18.6016
2	1	0.6	15086.6	6.14563	2.73967	9.19323	8.88531	18.0785
2	1	0.6	15086.3	6.1677	2.70775	9.16809	8.87545	18.0435
2	1	0.6	15086.3	6.14752	2.73333	9.19036	8.88086	18.0712
2	1	0.6	15086.5	6.16932	2.72165	9.18507	8.89097	18.076
2	1	0.6	15086.7	6.1553	2.72247	9.20365	8.87777	18.0814
2	1	0.6	15086.6	6.12531	2.70251	9.16566	8.82782	17.9935
2	1	0.6	15086.6	6.14509	2.72038	9.19403	8.86547	18.0595
2	1	0.7	17597.9	7.17422	3.17462	10.7021	10.3488	21.051
2	1	0.7	17597.9	7.16362	3.19791	10.7377	10.3615	21.0992
2	1	0.7	17597.9	7.1457	3.18741	10.7465	10.3331	21.0797
2	1	0.7	17597.9	7.17501	3.20412	10.7107	10.3791	21.0899
2	1	0.7	17598	7.16748	3.22024	10.7386	10.3877	21.1264
2	1	0.7	17597.9	7.18426	3.18724	10.6994	10.3715	21.0709
2	1	0.7	17597.9	7.17048	3.18161	10.7322	10.3521	21.0843
2	1	0.7	17597.9	7.18872	3.15916	10.736	10.3479	21.0839
2	1	0.8	20109.4	8.20948	3.59183	12.2509	11.8013	24.0522
2	1	0.8	20109.3	8.22317	3.6693	12.263	11.8925	24.1555
2	1	0.8	20109.3	8.18056	3.64309	12.261	11.8236	24.0846
2	1	0.8	20109.3	8.19244	3.64236	12.273	11.8348	24.1078
2	1	0.8	20109.3	8.17563	3.60987	12.2602	11.7855	24.0457
2	1	0.8	20109.3	8.21053	3.642	12.2371	11.8525	24.0896
2	1	0.8	20109.3	8.20733	3.60905	12.2404	11.8164	24.0568
2	1	0.8	20109.3	8.15285	3.63576	12.2755	11.7886	24.0641
2	1	0.9	22620.6	9.22825	4.11917	13.7963	13.3474	27.1437
2	1	0.9	22620.6	9.21468	4.1001	13.7552	13.3148	27.0699
2	1	0.9	22620.6	9.20492	4.10507	13.7587	13.31	27.0687
2	1	0.9	22620.6	9.21119	4.06629	13.765	13.2775	27.0425
2	1	0.9	22620.5	9.21812	4.09372	13.7356	13.3118	27.0474
2	1	0.9	22620.6	9.18836	4.07487	13.7819	13.2632	27.0451
2	1	0.9	22620.6	9.20866	4.08526	13.7489	13.2939	27.0428
2	1	0.9	22620.6	9.22569	4.10794	13.7633	13.3336	27.0969
2	1	1	25131.9	10.2561	4.57187	15.2818	14.828	30.1097
2	1	1	25131.5	10.75	4.56996	15.3058	14.32	30.62
2	1	1	25131.6	10.2782	4.59261	15.2915	14.8708	30.1624
2	1	1	25131.8	10.2383	4.53186	15.3301	14.7702	30.1003
2	1	1	25131.9	10.2501	4.53708	15.2861	14.7871	30.0732
2	1	1	25131.9	10.2036	4.57986	15.3236	14.7835	30.107
2	1	1	25131.6	10.2304	4.55819	15.2986	14.7886	30.0872
2	1	1	25131.6	10.595	4.84633	15.3101	14.441	30.751
