N. CPUs	N. FPGAs	fracFPGA	Time (ms)	CPU Energy	FPGA Energy 	MEM Energy 	CPU+FPGA Energy 	Total Energy 
2	1	0	56707.5	27.8574	5.68446	33.9757	33.5419	67.5176
2	1	0	56716.1	27.893	5.72005	33.8148	33.613	67.4278
2	1	0	56718.2	27.9325	5.77592	33.8806	33.7084	67.589
2	1	0	56700.7	27.9016	5.79275	33.8829	33.6944	67.5773
2	1	0	56727.7	27.9115	5.776	33.8564	33.6875	67.5439
2	1	0.1	56727.7	27.9115	5.776	33.8564	33.6875	67.5439
2	1	0.1	51986.6	25.5574	5.49289	31.1219	31.0503	62.1722
2	1	0.1	51996.5	25.6072	5.46258	30.9819	31.0697	62.0516
2	1	0.1	52048.5	25.6267	5.42752	31.0641	31.0542	62.1183
2	1	0.1	51929.1	25.5423	5.3925	30.9749	30.9348	61.9098
2	1	0.2	46996.1	23.1438	5.13852	27.9556	28.2823	56.2379
2	1	0.2	47122.3	23.104	5.14702	28.1255	28.251	56.3765
2	1	0.2	47308.1	23.1835	5.19834	28.1653	28.3818	56.5471
2	1	0.2	47259.1	23.0613	5.18471	28.0957	28.246	56.3417
2	1	0.2	47107.7	22.987	5.11696	28.1309	28.104	56.2349
2	1	0.3	42300.9	20.6087	4.80458	25.1817	25.4133	50.595
2	1	0.3	42317.1	20.5921	4.81919	25.2544	25.4113	50.6658
2	1	0.3	42292.5	20.6211	4.81923	25.2228	25.4404	50.6631
2	1	0.3	42150.9	20.5014	4.83597	25.1525	25.3373	50.4898
2	1	0.3	42437.3	20.6803	4.83079	25.2902	25.5111	50.8012
2	1	0.4	37322.5	18.1006	4.53862	22.2843	22.6392	44.9235
2	1	0.4	37287.8	18.1128	4.55196	22.2604	22.6647	44.9251
2	1	0.4	37546.8	18.2404	4.5508	22.4166	22.7912	45.2077
2	1	0.4	37599.2	18.2404	4.5508	22.4166	22.7912	45.2077
2	1	0.4	37668.8	18.2883	4.57282	22.4937	22.8611	45.3548
2	1	0.5	32809.5	15.8822	4.23473	19.5332	20.1169	39.6501
2	1	0.5	32748.3	15.8727	4.31214	19.5622	20.1848	39.747
2	1	0.5	32528.9	15.7533	4.21131	19.4206	19.9646	39.3852
2	1	0.5	32685.5	15.8802	4.28667	19.5572	20.1669	39.7241
2	1	0.5	32693.9	15.8374	4.24517	19.4904	20.0826	39.573
2	1	0.6	27868.4	13.4699	3.94837	16.566	17.4183	33.9843
2	1	0.6	27748.4	13.3963	3.98032	16.5398	17.3766	33.9164
2	1	0.6	27745.1	13.443	3.99314	16.5063	17.4361	33.9424
2	1	0.6	27858.8	13.4538	4.00644	16.5661	17.4602	34.0264
2	1	0.6	27713.8	13.4081	3.96226	16.525	17.3703	33.8953
2	1	0.7	22982.7	11.0376	3.7044	13.6739	14.742	28.416
2	1	0.7	22972.4	11.0376	3.7044	13.6739	14.742	28.416
2	1	0.7	23108	11.1436	3.72887	13.7438	14.8725	28.6162
2	1	0.7	23139.2	11.1421	3.71321	13.8046	14.8553	28.6599
2	1	0.7	22983.2	11.1075	3.73994	13.6603	14.8475	28.5078
2	1	0.8	20108.5	9.48496	3.64874	12.0385	13.1337	25.1722
2	1	0.8	20128.9	9.41221	3.65892	11.9508	13.0711	25.0219
2	1	0.8	20123.2	9.41744	3.64369	11.9885	13.0611	25.0496
2	1	0.8	20118	9.41603	3.64192	12.0591	13.0579	25.117
2	1	0.8	20108.4	9.41603	3.64192	12.0591	13.0579	25.117
2	1	0.9	22620	9.81866	4.09545	13.6536	13.9141	27.5677
2	1	0.9	22649.5	9.81695	4.11267	13.7239	13.9296	27.6535
2	1	0.9	22620.2	9.78971	4.05383	13.6082	13.8435	27.4517
2	1	0.9	22620.1	9.81003	4.05912	13.5958	13.8692	27.4649
2	1	0.9	22641.8	9.79644	4.07128	13.6461	13.8677	27.5138
2	1	1	25131.6	10.1555	4.52354	15.3169	14.679	29.996
2	1	1	25131.5	10.1684	4.50249	15.3133	14.6709	29.9842
2	1	1	25131.8	10.1734	4.49302	15.366	14.6664	30.0324
2	1	1	25131.7	10.2072	4.49557	15.315	14.7028	30.0177
2	1	1	25131.9	10.173	4.54609	15.3311	14.719	30.0501
